Seasons: 4644 4684 4646 4647 4648 4744,,,,,,Week,1,9/12/2015,2,9/19/2015,3,9/26/2015,4,10/3/2015,5,10/10/2015,6,10/17/2015,7,10/24/2015,8,10/31/2015,9,11/7/2015,10,11/14/2015,11,11/21/2015,,,,
,,,,,,,Home,Away,Home,Away,Home,Away,Home,Away,Home,Away,Home,Away,Home,Away,Home,Away,Home,Away,Home,Away,Home,Away,,,,
Region,WYS Field Name,Field ID,Game Starts,Game Ends,B/G/A,Order,,,,,,,,,,,,,,,,,,,,,,,,,Constraints/Requests,
,44-U14B-1,,,,6,4,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,,11,,11
,45-U14B-1,,,,5,4,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,,10,,11
,45-U14B-2,,,,5,4,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,,10,,11
,45-U14B-3,,,,4,5,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,,10,,11
,45-U14B-4,,,,6,4,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,,11,,11
,45-U14B-5,,,,5,4,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,,10,,11
,45-U14B-6,,,,5,5,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,,11,,11
,45-U14B-7,,,,4,6,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,,11,,11
,45-U14B-8,,,,6,4,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,,11,,11
,45-U14B-9,,,,5,4,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,,10,,11
,109-U14B-1,,,,4,6,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,,10,,10
,109-U14B-2,,,,5,4,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,,9,,10
,109-U14B-3,,,,4,5,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,,9,,10
,109-U14B-4,,,,4,6,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,,10,,10
,109-U14B-5,,,,4,6,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,,10,,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25-U14G-1,,,,5,4,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,,10,,11
,26-U14G-2,,,,5,5,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,,10,,10
,26-U14G-3,,,,4,5,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,,9,,10
,43-U14G-1,,,,5,4,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,,10,,11
,43-U14G-2,,,,5,5,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,,11,,11
,44-U14G-1,,,,6,3,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,,10,,11
,45-U14G-1,,,,5,4,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,,10,,11
,45-U14G-2,,,,4,5,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,,10,,11
,45-U14G-3,,,,5,4,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,,10,,11
,45-U14G-4,,,,5,5,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,,11,,11
,45-U14G-5,,,,6,4,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,,11,,11
,45-U14G-6,,,,6,4,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,,11,,11
,109-U14G-1,,,,4,5,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,,9,,10
,109-U14G-2,,,,3,6,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,,9,,10
,109-U14G-3,,,,4,5,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,,9,,10
,109-U14G-4,,,,4,6,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,,10,,10
,109-U14G-5,,,,4,6,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,,10,,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTALS: ,,,,180,180,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,11,11,,,,
